id;jhi_date;details;status;payment_method;payment_date;payment_amount
1;2019-05-18T15:25:00;Dalasi;PAID;CREDIT_CARD;2019-05-18T07:42:45;5786
2;2019-05-18T09:09:22;Court Money Market Account;PAID;CREDIT_CARD;2019-05-18T16:30:53;26593
3;2019-05-19T04:39:24;Engineer Architect;PAID;CREDIT_CARD;2019-05-18T08:39:37;7620
4;2019-05-18T10:46:53;Group hard drive Personal Loan Account;PAID;CREDIT_CARD;2019-05-18T11:04:09;48037
5;2019-05-18T06:49:40;Shirt Credit Card Account disintermediate;PAID;CREDIT_CARD;2019-05-19T05:10:09;7535
6;2019-05-18T09:46:09;haptic Producer Agent;PAID;CREDIT_CARD;2019-05-19T03:25:21;25144
7;2019-05-18T07:37:31;Savings Account;PAID;CREDIT_CARD;2019-05-18T14:24:17;49816
8;2019-05-18T18:02:06;transmit Gabon;PAID;CREDIT_CARD;2019-05-18T12:23:57;78466
9;2019-05-18T15:38:06;transmitter cyan;PAID;CREDIT_CARD;2019-05-18T20:01:22;9100
10;2019-05-18T08:49:21;real-time Berkshire solid state;PAID;CREDIT_CARD;2019-05-18T18:42:42;76891
