id;placed_date;status;code
1;2019-05-18T21:35:38;COMPLETED;JSON Texas
2;2019-05-19T00:47:45;COMPLETED;Fantastic
3;2019-05-18T08:51:40;COMPLETED;superstructure
4;2019-05-19T04:07:21;COMPLETED;time-frame Quality
5;2019-05-18T07:42:28;COMPLETED;Gorgeous Money Market Account
6;2019-05-18T17:14:00;COMPLETED;Unbranded
7;2019-05-18T18:39:22;COMPLETED;bandwidth Liaison
8;2019-05-18T14:00:35;COMPLETED;Algerian Dinar Fantastic Fresh Salad
9;2019-05-18T13:34:21;COMPLETED;Visionary
10;2019-05-18T16:34:16;COMPLETED;Interactions
