id;tracking_code;jhi_date;details
1;Practical Steel Chips;2019-05-18T15:37:23;frictionless orchid
2;Future-proofed Awesome;2019-05-19T03:25:45;Rubber Shirt
3;Pakistan Rupee;2019-05-19T02:12:02;Rupiah
4;Human Mission;2019-05-18T14:30:04;Soap teal Licensed Wooden Pants
5;e-business;2019-05-19T05:45:32;Brazil
6;Island cyan;2019-05-18T21:46:47;Bedfordshire
7;alliance Licensed Plaza;2019-05-18T14:00:56;Cambridgeshire
8;Regional;2019-05-19T05:03:23;systemic
9;Handmade Savings Account Manager;2019-05-18T17:38:39;Central Polarised
10;back-end Roads bypass;2019-05-19T05:38:31;Customer-focused
